;1. _number_             <number>                regular expression for decimal numbers; 
;2. +                    <Operator>              addition;
;3. -                    <Operator>              subtraction;
;4. *                    <Operator>              multiplication;
;5. /                    <Operator>              division;
;6. ^                    <Operator>              exponentiation;
;7. !                    <Operator>              factorial;
;8. #                    <Operator>              modulo function;
;38. sin                 <Unary Function>        trigonometric sine function;
;39. cos                 <Unary Function>        trigonometric cosine function;
;40. tan                 <Unary Function>        trigonometric tangent function;
;41. tg                  <Unary Function>        trigonometric tangent function;
;42. ctan                <Unary Function>        trigonometric cotangent function;
;43. ctg                 <Unary Function>        trigonometric cotangent function;
;44. cot                 <Unary Function>        trigonometric cotangent function;
;45. sec                 <Unary Function>        trigonometric secant function;
;46. cosec               <Unary Function>        trigonometric cosecant function;
;47. csc                 <Unary Function>        trigonometric cosecant function;
;48. asin                <Unary Function>        inverse trigonometric sine function;
;49. arsin               <Unary Function>        inverse trigonometric sine function;
;50. arcsin              <Unary Function>        inverse trigonometric sine function;
;51. acos                <Unary Function>        inverse trigonometric cosine function;
;52. arcos               <Unary Function>        inverse trigonometric cosine function;
;53. arccos              <Unary Function>        inverse trigonometric cosine function;
;54. atan                <Unary Function>        inverse trigonometric tangent function;
;55. arctan              <Unary Function>        inverse trigonometric tangent function;
;56. atg                 <Unary Function>        inverse trigonometric tangent function;
;57. arctg               <Unary Function>        inverse trigonometric tangent function;
;58. actan               <Unary Function>        inverse trigonometric cotangent function;
;59. arcctan             <Unary Function>        inverse trigonometric cotangent function;
;60. actg                <Unary Function>        inverse trigonometric cotangent function;
;61. arcctg              <Unary Function>        inverse trigonometric cotangent function;
;62. acot                <Unary Function>        inverse trigonometric cotangent function;
;63. arccot              <Unary Function>        inverse trigonometric cotangent function;
;64. ln                  <Unary Function>        natural logarithm function (base e);
;65. log2                <Unary Function>        binary logarithm function (base 2);
;66. log10               <Unary Function>        common logarithm function (base 10);
;67. rad                 <Unary Function>        degrees to radians function;
;68. exp                 <Unary Function>        exponential function;
;69. sqrt                <Unary Function>        squre root function;
;70. sinh                <Unary Function>        hyperbolic sine function;
;71. cosh                <Unary Function>        hyperbolic cosine function;
;72. tanh                <Unary Function>        hyperbolic tangent function;
;73. tgh                 <Unary Function>        hyperbolic tangent function;
;74. ctanh               <Unary Function>        hyperbolic cotangent function;
;75. coth                <Unary Function>        hyperbolic cotangent function;
;76. ctgh                <Unary Function>        hyperbolic cotangent function;
;77. sech                <Unary Function>        hyperbolic secant function;
;78. csch                <Unary Function>        hyperbolic cosecant function;
;79. cosech              <Unary Function>        hyperbolic cosecant function;
;81. abs                 <Unary Function>        absolut value function;
;82. sgn                 <Unary Function>        signum function;
;83. floor               <Unary Function>        floor function;
;84. ceil                <Unary Function>        ceiling function;
;86. asinh               <Unary Function>        inverse hyperbolic sine function;
;87. arsinh              <Unary Function>        inverse hyperbolic sine function;
;88. arcsinh             <Unary Function>        inverse hyperbolic sine function;
;89. acosh               <Unary Function>        inverse hyperbolic cosine function;
;90. arcosh              <Unary Function>        inverse hyperbolic cosine function;
;91. arccosh             <Unary Function>        inverse hyperbolic cosine function;
;92. atanh               <Unary Function>        inverse hyperbolic tangent function;
;93. arctanh             <Unary Function>        inverse hyperbolic tangent function;
;94. atgh                <Unary Function>        inverse hyperbolic tangent function;
;95. arctgh              <Unary Function>        inverse hyperbolic tangent function;
;96. actanh              <Unary Function>        inverse hyperbolic cotangent function;
;97. arcctanh            <Unary Function>        inverse hyperbolic cotangent function;
;98. acoth               <Unary Function>        inverse hyperbolic cotangent function;
;99. arcoth              <Unary Function>        inverse hyperbolic cotangent function;
;100. arccoth            <Unary Function>        inverse hyperbolic cotangent function;
